city,country,latitude,longitude,timestamp_utc,aqi,co,no,no2,o3,so2,pm25,pm10,nh3
Berlin,DE,52.52,13.405,2026-01-28 15:00:00+00:00,2,287.72,0.83,16.99,22.72,4.25,12.01,14.45,0.23
Berlin,DE,52.52,13.405,2026-01-28 16:00:00+00:00,2,284.2,0.13,16.88,23.26,4.01,10.58,12.81,0.25
Berlin,DE,52.52,13.405,2026-01-28 17:00:00+00:00,1,284.64,0.03,16.61,22.89,3.88,9.57,11.72,0.28
Berlin,DE,52.52,13.405,2026-01-28 18:00:00+00:00,1,290.08,0.03,16.87,21.06,4.36,9.22,11.43,0.38
Berlin,DE,52.52,13.405,2026-01-28 19:00:00+00:00,1,297.89,0.04,17.33,18.48,4.75,9.06,11.39,0.46
Berlin,DE,52.52,13.405,2026-01-28 20:00:00+00:00,1,308.32,0.04,17.73,16.8,5.01,9.09,11.53,0.51
Berlin,DE,52.52,13.405,2026-01-28 21:00:00+00:00,1,315.77,0.04,17.67,16.46,5.2,9.25,11.76,0.54
Berlin,DE,52.52,13.405,2026-01-28 22:00:00+00:00,1,318.65,0.04,17.25,16.86,5.41,9.64,12.18,0.54
Berlin,DE,52.52,13.405,2026-01-28 23:00:00+00:00,2,320.73,0.02,16.78,17.15,5.64,10.31,12.88,0.52
Berlin,DE,52.52,13.405,2026-01-29 00:00:00+00:00,2,321.68,0.01,16.42,17.1,5.95,11.19,13.8,0.49
Berlin,DE,52.52,13.405,2026-01-29 01:00:00+00:00,2,319.75,0.01,16.04,17.14,6.29,12.06,14.71,0.47
Berlin,DE,52.52,13.405,2026-01-29 02:00:00+00:00,2,316.93,0.01,15.54,17.75,6.55,12.75,15.43,0.43
Berlin,DE,52.52,13.405,2026-01-29 03:00:00+00:00,2,311.47,0.01,14.87,18.88,6.66,13.13,15.79,0.39
Berlin,DE,52.52,13.405,2026-01-29 04:00:00+00:00,2,304.12,0.01,14.06,20.38,6.6,13.17,15.77,0.36
Berlin,DE,52.52,13.405,2026-01-29 05:00:00+00:00,2,296.77,0.01,13.35,22.24,6.43,13.01,15.55,0.35
Berlin,DE,52.52,13.405,2026-01-29 06:00:00+00:00,2,291.3,0.02,13.12,23.95,6.3,12.8,15.31,0.35
Berlin,DE,52.52,13.405,2026-01-29 07:00:00+00:00,2,285.88,0.03,13.31,25.15,6.19,12.47,14.84,0.36
Berlin,DE,52.52,13.405,2026-01-29 08:00:00+00:00,2,281.9,0.07,13.43,26.0,5.96,11.99,14.18,0.38
Berlin,DE,52.52,13.405,2026-01-29 09:00:00+00:00,2,279.3,0.39,13.3,27.25,5.79,11.63,13.7,0.41
Berlin,DE,52.52,13.405,2026-01-29 10:00:00+00:00,2,278.33,0.75,12.94,28.34,5.72,11.31,13.24,0.45
Berlin,DE,52.52,13.405,2026-01-29 11:00:00+00:00,2,278.35,1.07,12.47,28.96,5.66,11.1,12.92,0.49
Berlin,DE,52.52,13.405,2026-01-29 12:00:00+00:00,2,279.39,1.19,12.38,28.77,5.7,11.1,12.91,0.54
Berlin,DE,52.52,13.405,2026-01-29 13:00:00+00:00,2,280.64,1.02,12.86,28.11,5.74,11.19,12.85,0.59
Berlin,DE,52.52,13.405,2026-01-29 14:00:00+00:00,2,281.75,0.64,13.68,26.99,5.59,11.24,12.76,0.65
Berlin,DE,52.52,13.405,2026-01-29 15:00:00+00:00,2,282.85,0.29,14.47,25.93,5.56,11.25,12.73,0.73
Berlin,DE,52.52,13.405,2026-01-29 16:00:00+00:00,2,283.41,0.09,15.06,25.12,5.66,11.18,12.65,0.8
Berlin,DE,52.52,13.405,2026-01-29 17:00:00+00:00,2,283.42,0.05,15.33,24.64,5.68,11.11,12.48,0.82
Berlin,DE,52.52,13.405,2026-01-29 18:00:00+00:00,2,283.55,0.05,15.48,24.15,5.75,11.15,12.42,0.83
Berlin,DE,52.52,13.405,2026-01-29 19:00:00+00:00,2,283.42,0.05,15.66,23.55,6.04,11.3,12.53,0.85
Berlin,DE,52.52,13.405,2026-01-29 20:00:00+00:00,2,282.9,0.06,15.92,22.98,6.33,11.49,12.67,0.88
Berlin,DE,52.52,13.405,2026-01-29 21:00:00+00:00,2,282.76,0.06,16.24,22.47,6.46,11.68,12.81,0.91
Berlin,DE,52.52,13.405,2026-01-29 22:00:00+00:00,2,283.69,0.07,16.56,21.8,6.33,11.87,12.97,0.94
Berlin,DE,52.52,13.405,2026-01-29 23:00:00+00:00,2,284.29,0.06,16.69,21.29,6.06,12.08,13.14,0.98
Berlin,DE,52.52,13.405,2026-01-30 00:00:00+00:00,2,285.78,0.05,16.63,20.99,5.85,12.35,13.37,1.0
Berlin,DE,52.52,13.405,2026-01-30 01:00:00+00:00,2,289.14,0.05,16.66,20.51,5.68,12.84,13.98,1.13
Berlin,DE,52.52,13.405,2026-01-30 02:00:00+00:00,2,293.5,0.07,16.85,19.74,5.91,13.57,15.01,1.34
Berlin,DE,52.52,13.405,2026-01-30 03:00:00+00:00,2,298.88,0.1,17.2,18.75,6.23,14.38,16.18,1.54
